id	created_time	location	no_comments	no_likes	filter	link	caption	thumbnail	tags	user_name	user_id
1108043133929794946_1147148210	31/10/2015 17:30		0	29	Normal	https://instagram.com/p/9gj1wRsi2C/	#Repost @unconditional_love_g with @repostapp ・・・ Islamic Countries’ Inaction during the Syrian Crises https://medium.com/messiah-foundation-international/islamic-countries-inaction-during-the-syrian-crises-e15e5a89facb The image of Aylan Kurdi shocked the world and lead to an global outpouring of support for Syrian refugees on humanitarian grounds. This begs the question: why did so many Syrians have to take such a treacherous journey to Europe when there are well-off Islamic countries so close to them? #YounusAlGohar #Medium #Syria #SyrianRefugees #Aylan #AylanKurdi #Refugees #ISIS #ISIL #Daesh #refugee #refugeecrises #syriancrisis #migrants #migrantcrisis #europe #UnitedKingdom #asylum #asylumseekers #Muslim #Islam #radicalmuslims #radicals #infidel #British #DavidCameron #UAE #SaudiArabia #Qatar	https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/e35/12142166_1246411608707283_329270359_n.jpg	europe, infidel, medium, unitedkingdom, muslim, migrantcrisis, syrianrefugees, davidcameron, british, isis, asylum, uae, repost, qatar, migrants, aylankurdi, saudiarabia, radicals, refugee, isil, younusalgohar, asylumseekers, refugeecrises, radicalmuslims, syriancrisis, daesh, syria, islam, refugees, aylan	sumair_aslam_bd	1147148210
1107926070377958865_2208784466	31/10/2015 13:38		1	33	Normal	https://instagram.com/p/9gJOQWRc3R/	آیلان،کودک سوری #آیلان Aylan the Syrian kid. #aylan	https://scontent.cdninstagram.com/hphotos-xat1/t51.2885-15/s640x640/sh0.08/e35/12120344_560319070786539_2116033341_n.jpg	آیلان, aylan	childrenspeace	2208784466
1107125013535737624_22204048	30/10/2015 11:06		0	38	Normal	https://instagram.com/p/9dTFWBv0cY/	#jummah #mubarak ❣#hayırlıcumalar Liebt Kinder ...liebt bitte auch Flüchtlingskinder .... Vergewaltigt sie nicht wie der kleine #muhammad .lasst sie nicht ertrinken wie der kleine #aylan .	https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/11910408_656725474442667_1792944108_n.jpg	jummah, muhammad, hayırlıcumalar, aylan, mubarak	atanazgulay	22204048
1106434071171962607_2112241540	29/10/2015 12:14	41.0186, 28.9647	1	18	Normal	https://instagram.com/p/9a1-zzmBbv/	#aylankurdi #karakalem #charcoal #draw #burhankaratas #aylan	https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/12093488_923832694372743_1544091013_n.jpg	charcoal, karakalem, aylankurdi, burhankaratas, draw, aylan	karatasalev	2112241540
1106389362852823759_1644511855	29/10/2015 10:45		0	7	Normal	https://instagram.com/p/9ar0N8HQLP/	#tbt comme si c'était hier... #rathon #aylan	https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/sh0.08/e35/12132695_892680184157017_442186111_n.jpg	rathon, tbt, aylan	chronique_dune_folle_curieuse	1644511855
1106065052901420930_2189352666	29/10/2015 0:00		0	11	Normal	https://instagram.com/p/9ZiE4wqa-C/	Shocking but iconic picture which caused a compassionate call for welcome #aylan #refugeeswelcome #nrc #refugees #paperart #folding #newshirt #art #icon #jettyvanwezel	https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/sh0.08/e35/12104943_1643697692579928_326357327_n.jpg	art, nrc, paperart, newshirt, refugeeswelcome, folding, refugees, jettyvanwezel, aylan, icon	jettyvanwezel_conceptdesign	2189352666
1106029806849509398_336254241	28/10/2015 22:50		0	9	Normal	https://instagram.com/p/9ZaD_UQkgW/	#home2 #charleville #expo #art #comtemporaryart #aylan #3yo #child #beach #war	https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/12093266_1085985818079524_650726836_n.jpg	home2, art, charleville, 3yo, comtemporaryart, expo, child, beach, war, aylan	alexandreansiaux	336254241
1105202133324027801_2213769628	27/10/2015 19:26		2	5	Normal	https://instagram.com/p/9Wd3wRyFeZ/	#what#happens#to#the#world#??#stop#war#have#peace#R.I.P#to#this#kid#he#was#just#3#years#old#R.I.P#Aylan	https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/sh0.08/e35/12071030_1663535110569814_1192717414_n.jpg	old, just, stop, years, have, world, kid, happens, what, this, peace, to, 3, r, the, he, was, war, aylan	malchaz_karija	2213769628
1104507587858136481_2223905126	26/10/2015 20:26		0	6	Normal	https://instagram.com/p/9T_8yaAf2h/	#drawing #humanity #Aylan #sad #RIP	https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/12139823_541066099375613_1760601290_n.jpg	sad, rip, humanity, aylan, drawing	libinlmp	2223905126
1104356673562386158_1141060294	26/10/2015 15:26		0	17	Juno	https://instagram.com/p/9TdoshBJ7u/	Begining the day with #babies #Nicolás #Aylan #poolday #beachday #happymom #smiles #love 🌴	https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/sh0.08/e35/12093661_868622676580333_585882677_n.jpg	nicolás, smiles, poolday, love, beachday, babies, happymom, aylan	adelaineortega	1141060294
1103993008707378615_1141060294	26/10/2015 3:24		2	22	Nashville	https://instagram.com/p/9SK8rOhJ23/	Tener personas a quien amar se llama familia ... ♥ #family #friendship #Aylan #love #night #forever	https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/e35/12145124_733997726744703_321480274_n.jpg	forever, love, family, night, friendship, aylan	adelaineortega	1141060294
1103828115343817504_2036982573	25/10/2015 21:56		1	25	Normal	https://instagram.com/p/9RldKUKDsg/	#humanity #noborders #nowar #jesuisaylan #aylan #refugees #refuge #asyl #syria #syrien #stopassad #aleppo #homs #kobane #turkey #türkei #turkiye #istanbul #migrants #integration #germany #merkel #democracy #willkommenskultur #freedom #wirschaffendas #bundeskanzlerin #peace	https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s320x320/e35/11925762_109030016127148_1583879307_n.jpg	syrien, refugees, kobane, merkel, nowar, homs, bundeskanzlerin, migrants, turkiye, syria, stopassad, refuge, turkey, jesuisaylan, noborders, willkommenskultur, istanbul, democracy, freedom, peace, integration, aleppo, asyl, wirschaffendas, türkei, germany, humanity, aylan	one.world.only	2036982573
1103821929031074381_1444498007	25/10/2015 21:44		0	8	Hefe	https://instagram.com/p/9RkDI3LwJN/	#minik# #AYLAN# :'( :-(	https://scontent.cdninstagram.com/hphotos-xat1/t51.2885-15/e35/12141940_1016617055057396_1599331129_n.jpg	minik, aylan	66_tugbaa	1444498007
1103675206747957344_1161286929	25/10/2015 16:52		0	2	Amaro	https://instagram.com/p/9RCsDFnihg/	Sorriso mais sincero, Nao troco esse sorriso por nada! Lindooo #Aylan	https://scontent.cdninstagram.com/hphotos-xat1/t51.2885-15/s640x640/sh0.08/e35/10949028_1526983584259974_792409355_n.jpg	aylan	dinah_nunes	1161286929
1103614950100721510_514926046	25/10/2015 14:52		0	2	Normal	https://instagram.com/p/9Q0_MtkF9m/	Io non dimentico,tutti i giorni ricordo e piango le sofferenze del popolo siriano #sirialibera #siria #sirianonseisola #aylan #pace #paceinsiria #freedomforsyria #bastaguerra #bastamorte #accogliamoiprofughi	https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s320x320/e35/12080597_197789897219139_424236244_n.jpg	siria, sirianonseisola, paceinsiria, bastaguerra, bastamorte, pace, accogliamoiprofughi, sirialibera, freedomforsyria, aylan	poiu801	514926046
1103496568581405335_2036982573	25/10/2015 10:57		0	32	Normal	https://instagram.com/p/9QaEhVKDqX/	#humanity #noborders #nowar #jesuisaylan #aylan #refugees #refuge #asyl #syria #syrien #stopassad #stopwar #kobane #stopisis #stopterror #stopterrorism #aleppo #homs #europe #europa #germany #merkel #democracy #willkommenskultur #freedom #peace #wirschaffendas #bundeskanzlerin #berlin #gauck	https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s320x320/e35/11909243_882408091855741_1102811995_n.jpg	syrien, europe, europa, gauck, kobane, merkel, nowar, homs, bundeskanzlerin, berlin, germany, refugees, stopterrorism, stopassad, refuge, stopisis, jesuisaylan, noborders, willkommenskultur, democracy, stopwar, freedom, peace, aleppo, asyl, wirschaffendas, syria, stopterror, humanity, aylan	one.world.only	2036982573
1103439038084091602_1971204930	25/10/2015 9:03		0	52	Lark	https://instagram.com/p/9QM_V4TQ7S/	#alemlerin #rabbi #olan #Allaha #hamdolsun #huzur #sukurlerolsun #Tokat #namaz #secde #seccade #kuran #islam #islamic #hanim #temiz #arkadas #kış #cocuk #aylan #instagram	https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/s480x480/e35/12142077_497627033731237_1936726629_n.jpg	arkadas, secde, instagram, rabbi, kış, allaha, temiz, namaz, huzur, tokat, hamdolsun, alemlerin, cocuk, islam, islamic, kuran, olan, sukurlerolsun, seccade, hanim, aylan	beytulsua	1971204930
1103332738590748358_1574509266	25/10/2015 5:32		0	2	Normal	https://instagram.com/p/9P00ewwq7G/	#AYLAN ET LES AUTRES Parce qu'on ne peut pas rigoler tous les jours Ce dessin me #fait penser au poème de Rimbaud, le Dormeur du Val. On dirait qu'il dort... Dénoncer #la_barbarie et réveiller les consciences !!!!	https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/sh0.08/e35/12142670_858955000886463_1765917220_n.jpg	fait, aylan, la_barbarie	jacky_strider	1574509266
1103241906187282609_1161286929	25/10/2015 2:31		0	5	Amaro	https://instagram.com/p/9PgKsfniix/	#Aylan lindo da tia	https://scontent.cdninstagram.com/hphotos-xat1/t51.2885-15/s640x640/sh0.08/e35/12142271_422582644593087_2041199582_n.jpg	aylan	dinah_nunes	1161286929
1103168088190761944_2036982573	25/10/2015 1:05		0	15	Normal	https://instagram.com/p/9PPYgIKDvY/	#dignity #humanity #noborders #jesuisaylan #refugees #aylan #refuge #asyl #syria #syrien #assad #aleppo #homs #kobane #democracy #peace #germany @syria_here	https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s320x320/e35/11906344_636189789856384_309631087_n.jpg	syrien, jesuisaylan, kobane, homs, germany, assad, refuge, dignity, noborders, democracy, peace, aleppo, asyl, syria, refugees, humanity, aylan	one.world.only	2036982573
1102896327113063015_2036982573	24/10/2015 16:05		0	23	Normal	https://instagram.com/p/9ORl25qDpn/	#humanity #noborders #nowar #jesuisaylan #aylan #refugees #refuge #asyl #syria #syrien #stopassad #stopwar #stopputin #stoperdogan #stopterror #stopterrorism #aleppo #homs #kobane @syria_here	https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s320x320/e35/11262823_781014402007770_1674058894_n.jpg	syrien, nowar, stoperdogan, kobane, homs, stopterrorism, stopputin, stopassad, refuge, jesuisaylan, noborders, aleppo, stopterror, stopwar, asyl, syria, refugees, humanity, aylan	one.world.only	2036982573
1102839345572232184_2036982573	24/10/2015 14:11		0	13	Normal	https://instagram.com/p/9OEoqtKDv4/	#humanity #noborders #nowar #jesuisaylan #aylan #refugees #refuge #asyl #syria #syrien #stopassad #stopwar #stopputin #stoperdogan #stopterror #stopterrorism #aleppo #homs #kobane #europe #turkey #türkei #turkiye #erdogan #terrorist #stopisis @syria_here	https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s320x320/e35/11917996_158533151165938_1398821369_n.jpg	syrien, europe, erdogan, nowar, stoperdogan, kobane, homs, terrorist, turkiye, stopterrorism, stopputin, stopassad, refuge, turkey, jesuisaylan, noborders, stopwar, refugees, aleppo, asyl, stopisis, syria, stopterror, humanity, aylan, türkei	one.world.only	2036982573
1102569486912828359_248977027	24/10/2015 5:15	-3.333333333, 114.583333333	7	16	Normal	https://instagram.com/p/9NHRtPn7PH/	Aylan Yusuf A. 5 day old, 😹 it's a boy #baby #newbornphotography #cute #aylan yusuf	https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12105999_436209636581776_1738285665_n.jpg	baby, cute, newbornphotography, aylan	zie_graphic	248977027
1102454973135569641_276016775	24/10/2015 1:28		2	35	Crema	https://instagram.com/p/9MtPT-m8Lp/	Un de plus dans la famille 😉✌🏽️#cousin #Aylan 🇫🇷 🇹🇳😍	https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/s640x640/sh0.08/e35/12142637_570422493108382_2005196606_n.jpg	cousin, aylan	salemkhanfous	276016775
1102415064744867864_2036982573	24/10/2015 0:08		0	27	Normal	https://instagram.com/p/9MkKkZKDgY/	#humanity #noborders #nowar #jesuisaylan #aylan #refugees #refuge #asyl #stopterror #stopterrorism #stopisis #stopassad #stopputin #stoperdogan #erdogan #terrorist #putin #assad #syria #syrien #homs #aleppo #kobane #migrants #integration #germany #merkel #democracy #freedom #peace	https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/s320x320/e35/11246292_761653050630684_869492638_n.jpg	syrien, refugees, putin, erdogan, nowar, merkel, stoperdogan, kobane, homs, terrorist, germany, stopterrorism, stopputin, assad, stopassad, refuge, stopisis, jesuisaylan, migrants, noborders, democracy, freedom, peace, integration, aleppo, asyl, syria, stopterror, humanity, aylan	one.world.only	2036982573
